Designator,Mid X,Mid Y,Rotation,Layer
A1,58.42,-118.4275,270.0,bottom
C1,93.6825,-95.25,0.0,bottom
C2,48.32,-38.1,0.0,bottom
C3,129.2825,-33.3375,0.0,bottom
D1,51.545,-56.3275,90.0,bottom
D10,108.545,-61.1375,90.0,bottom
D11,127.795,-65.7225,90.0,bottom
D12,147.32,-65.7225,90.0,bottom
D13,52.07,-94.2975,90.0,bottom
D14,71.12,-94.2975,90.0,bottom
D15,90.17,-84.7725,90.0,bottom
D16,108.545,-80.01,90.0,bottom
D17,128.27,-84.7725,90.0,bottom
D18,147.32,-84.7725,90.0,bottom
D19,88.1075,-100.7625,0.0,bottom
D2,71.12,-56.1975,90.0,bottom
D20,101.7575,-99.2625,0.0,bottom
D21,59.5325,-42.1125,0.0,bottom
D22,40.4825,-42.1125,0.0,bottom
D23,120.8075,-34.0875,0.0,bottom
D24,139.8575,-34.0875,0.0,bottom
D3,90.17,-46.6725,90.0,bottom
D4,108.795,-44.3875,90.0,bottom
D5,127.545,-46.6725,90.0,bottom
D6,147.32,-46.6725,90.0,bottom
D7,52.07,-75.2475,90.0,bottom
D8,71.12,-75.2475,90.0,bottom
D9,90.17,-65.7225,90.0,bottom
SW1,42.545,-57.15,0.0,top
SW10,99.695,-61.9125,0.0,top
SW11,118.745,-66.675,0.0,top
SW12,137.795,-66.675,0.0,top
SW13,42.545,-95.25,0.0,top
SW14,61.595,-95.25,0.0,top
SW15,80.645,-85.725,0.0,top
SW16,99.695,-80.9625,0.0,top
SW17,118.745,-85.725,0.0,top
SW18,137.795,-85.725,0.0,top
SW19,142.5575,-109.5375,0.0,top
SW2,61.595,-57.15,0.0,top
SW3,80.645,-47.625,0.0,top
SW4,99.695,-42.8625,0.0,top
SW5,118.745,-47.625,0.0,top
SW6,137.795,-47.625,0.0,top
SW7,42.545,-76.2,0.0,top
SW8,61.595,-76.2,0.0,top
SW9,80.645,-66.675,0.0,top
U1,112.8375,-113.03,0.0,top
U2,134.8825,-123.825,270.0,top
